Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
Dismir	PSLS	Lin. simplex	Top 10%	Canonical Soft Labels	NA	97.74	3.24	1.88	10.95
Dismir	PSLS	Vec. scaling	Top 10%	Canonical Soft Labels	NA	96.65	4.40	2.78	13.06
MethylBERT	XGB	None	Top 10%	Canonical Soft Labels	NA	94.26	5.56	4.77	11.61
MethylBERT	XGB	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	95.48	4.55	3.75	10.95
MethylBERT	XGB	Lin. simplex	Top 10%	Canonical Soft Labels	NA	96.38	3.91	3.01	11.70
MethylBERT	XGB	Vec. scaling	Top 10%	Canonical Soft Labels	NA	96.95	4.30	2.53	7.44
MethylBERT	MLP	None	Top 10%	Canonical Soft Labels	NA	96.65	4.41	2.78	9.29
MethylBERT	MLP	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	97.32	3.95	2.22	10.59
MethylBERT	MLP	Lin. simplex	Top 10%	Canonical Soft Labels	NA	97.60	3.66	1.99	12.13
MethylBERT	MLP	Vec. scaling	Top 10%	Canonical Soft Labels	NA	97.80	3.63	1.82	7.79
MethylBERT	SWN	None	Top 10%	Canonical Soft Labels	NA	96.77	4.24	2.69	8.44
MethylBERT	SWN	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	97.44	3.63	2.13	9.95
MethylBERT	SWN	Lin. simplex	Top 10%	Canonical Soft Labels	NA	97.74	3.39	1.88	11.98
MethylBERT	SWN	Vec. scaling	Top 10%	Canonical Soft Labels	NA	97.81	3.51	1.82	7.07
MethylBERT	NNLS	None	Top 10%	Canonical Soft Labels	NA	96.66	4.74	2.77	11.86
MethylBERT	NNLS	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	97.38	3.87	2.18	10.65
MethylBERT	NNLS	Lin. simplex	Top 10%	Canonical Soft Labels	NA	98.00	3.13	1.66	9.90
MethylBERT	NNLS	Vec. scaling	Top 10%	Canonical Soft Labels	NA	97.80	3.96	1.83	8.40
MethylBERT	PSLS	None	Top 10%	Canonical Soft Labels	NA	97.20	4.23	2.33	10.63
MethylBERT	PSLS	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	97.77	3.56	1.85	10.21
MethylBERT	PSLS	Lin. simplex	Top 10%	Canonical Soft Labels	NA	98.27	2.99	1.44	10.10
MethylBERT	PSLS	Vec. scaling	Top 10%	Canonical Soft Labels	NA	97.90	3.62	1.75	8.24
Dismir	XGB	None	Diag. + Bckg.	Canonical Soft Labels	NA	95.45	4.84	3.78	9.45
Dismir	XGB	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	96.32	4.07	3.06	8.82
Dismir	XGB	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	96.99	3.54	2.50	9.30
Dismir	XGB	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	97.41	3.87	2.15	6.23
Dismir	MLP	None	Diag. + Bckg.	Canonical Soft Labels	NA	95.53	4.99	3.71	10.30
Dismir	MLP	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	96.03	4.78	3.30	11.71
Dismir	MLP	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	96.33	4.62	3.05	14.18
Dismir	MLP	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	96.39	4.60	3.00	9.32
Dismir	SWN	None	Diag. + Bckg.	Canonical Soft Labels	NA	94.56	4.65	4.52	8.90
Dismir	SWN	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	95.86	4.17	3.44	9.13
Dismir	SWN	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	96.01	4.15	3.31	11.20
Dismir	SWN	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	96.13	3.86	3.22	7.04
Dismir	NNLS	None	Diag. + Bckg.	Canonical Soft Labels	NA	95.59	4.58	3.67	34.62
Dismir	NNLS	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	97.08	3.85	2.43	11.03
Dismir	NNLS	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	97.80	3.18	1.83	10.40
Dismir	NNLS	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	97.09	3.94	2.42	30.57
Dismir	PSLS	None	Diag. + Bckg.	Canonical Soft Labels	NA	95.64	4.58	3.63	29.03
Dismir	PSLS	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	97.07	3.84	2.44	11.73
Dismir	PSLS	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	97.79	3.19	1.84	10.59
Dismir	PSLS	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	96.80	4.29	2.66	12.33
MethylBERT	XGB	None	Diag. + Bckg.	Canonical Soft Labels	NA	93.81	5.76	5.14	12.38
MethylBERT	XGB	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	95.12	4.73	4.06	11.76
MethylBERT	XGB	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	96.11	4.03	3.23	12.61
MethylBERT	XGB	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	96.74	4.48	2.71	8.00
MethylBERT	MLP	None	Diag. + Bckg.	Canonical Soft Labels	NA	95.75	4.85	3.53	10.50
MethylBERT	MLP	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	96.71	4.45	2.73	12.28
MethylBERT	MLP	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	96.98	4.25	2.51	14.73
MethylBERT	MLP	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	97.03	4.29	2.47	9.05
MethylBERT	SWN	None	Diag. + Bckg.	Canonical Soft Labels	NA	96.75	4.23	2.70	8.35
MethylBERT	SWN	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	97.50	3.60	2.08	9.62
MethylBERT	SWN	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	97.80	3.37	1.83	11.82
MethylBERT	SWN	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	97.90	3.47	1.75	6.94
MethylBERT	NNLS	None	Diag. + Bckg.	Canonical Soft Labels	NA	97.19	4.22	2.34	11.10
MethylBERT	NNLS	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	97.76	3.56	1.86	10.17
MethylBERT	NNLS	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	98.26	3.00	1.45	10.11
MethylBERT	NNLS	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	98.08	3.59	1.59	8.49
MethylBERT	PSLS	None	Diag. + Bckg.	Canonical Soft Labels	NA	97.17	4.24	2.35	10.56
MethylBERT	PSLS	Lin. clip+norm	Diag. + Bckg.	Canonical Soft Labels	NA	97.75	3.58	1.87	10.21
MethylBERT	PSLS	Lin. simplex	Diag. + Bckg.	Canonical Soft Labels	NA	98.25	3.01	1.46	10.14
MethylBERT	PSLS	Vec. scaling	Diag. + Bckg.	Canonical Soft Labels	NA	97.94	3.61	1.71	8.15
Dismir	XGB	None	NA	Data-Driven Soft-Labels (with pooling)	NA	96.30	4.26	3.07	8.50
Dismir	XGB	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	96.66	4.14	2.77	8.95
Dismir	XGB	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	97.01	3.70	2.48	9.36
Dismir	XGB	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	96.98	4.35	2.51	6.66
Dismir	MLP	None	NA	Data-Driven Soft-Labels (with pooling)	NA	96.91	4.07	2.56	8.04
Dismir	MLP	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	97.42	3.88	2.14	9.78
Dismir	MLP	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	97.59	3.73	2.00	12.04
Dismir	MLP	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	97.75	3.76	1.87	7.10
Dismir	SWN	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.65	3.51	1.95	6.01
Dismir	SWN	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	98.30	3.24	1.41	6.35
Dismir	SWN	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	98.27	3.37	1.43	9.01
Dismir	SWN	Vec. scaling	NA	Data-Driven Soft-Labels (with pooling)	NA	98.19	3.47	1.50	5.29
Dismir	NNLS	None	NA	Data-Driven Soft-Labels (with pooling)	NA	97.81	3.76	1.82	9.21
Dismir	NNLS	Lin. clip+norm	NA	Data-Driven Soft-Labels (with pooling)	NA	98.11	3.49	1.57	8.29
Dismir	NNLS	Lin. simplex	NA	Data-Driven Soft-Labels (with pooling)	NA	98.53	3.05	1.22	7.75
