	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
234	dismir	canonical_soft_labels		diagbckg	nnls	vector_scaling	dismir / canonical_soft_labels / diagbckg / nnls / vector_scaling	dismir|canonical_soft_labels||diagbckg|nnls|vector_scaling	0.9718809959907068	0.6620739824946703	0.6462434615384616	241.0	175.0	208.0	241.0	280.0	241.0	253.0	321.0	310.0	241.0	280.0
235	methylbert	canonical_soft_labels		top156	mlp	linear_simplex_projection	methylbert / canonical_soft_labels / top156 / mlp / linear_simplex_projection	methylbert|canonical_soft_labels||top156|mlp|linear_simplex_projection	0.9791606980802424	0.5876006539732055	0.5778073076923076	149.0	268.0	208.5	149.0	179.0	149.0	178.0	284.0	202.0	149.0	66.0
236	lookup	soft_labels_with_pooling		top156	swn	uncalibrated	lookup / soft_labels_with_pooling / top156 / swn / uncalibrated	lookup|soft_labels_with_pooling||top156|swn|uncalibrated	0.9671549906004054	0.6677591133852269	0.6558249999243202	264.0	154.0	209.0	264.0	269.0	264.0	279.0	159.0	212.0	264.0	284.0
237	methylbert	canonical_soft_labels		top156	nnls	uncalibrated	methylbert / canonical_soft_labels / top156 / nnls / uncalibrated	methylbert|canonical_soft_labels||top156|nnls|uncalibrated	0.9791353707027284	0.5874592244175505	0.5755073076923078	150.0	269.0	209.5	150.0	108.0	150.0	183.0	241.0	118.0	150.0	131.0
238	methylbert	canonical_soft_labels		top156	mlp	vector_scaling	methylbert / canonical_soft_labels / top156 / mlp / vector_scaling	methylbert|canonical_soft_labels||top156|mlp|vector_scaling	0.9790684039613128	0.5831054586953605	0.5719761538461539	152.0	270.0	211.0	152.0	203.0	152.0	193.0	128.0	215.0	152.0	51.0
239	dismir	canonical_soft_labels		top156	psls	uncalibrated	dismir / canonical_soft_labels / top156 / psls / uncalibrated	dismir|canonical_soft_labels||top156|psls|uncalibrated	0.9592279961845678	0.6750678561175077	0.6615261538461539	298.0	124.0	211.0	298.0	307.0	298.0	236.0	333.0	364.0	298.0	360.0
240	lookup	soft_labels_with_pooling		top156	mlp	linear_clip_normalize	lookup / soft_labels_with_pooling / top156 / mlp / linear_clip_normalize	lookup|soft_labels_with_pooling||top156|mlp|linear_clip_normalize	0.9672530760746983	0.6671861551484414	0.661829616624639	263.0	159.0	211.0	263.0	260.0	263.0	262.0	244.0	232.0	263.0	281.0
241	methylbert	hard_labels		top156	psls	uncalibrated	methylbert / hard_labels / top156 / psls / uncalibrated	methylbert|hard_labels||top156|psls|uncalibrated	0.980365914606956	0.5052708994978555	0.4901223076923077	122.0	302.0	212.0	122.0	114.0	122.0	141.0	228.0	78.0	122.0	123.0
242	lookup	soft_labels_with_pooling		top156	nnls	linear_clip_normalize	lookup / soft_labels_with_pooling / top156 / nnls / linear_clip_normalize	lookup|soft_labels_with_pooling||top156|nnls|linear_clip_normalize	0.9740113857010362	0.6523324500623272	0.6434376923076922	224.0	201.0	212.5	224.0	117.0	224.0	238.0	215.0	184.0	224.0	261.0
243	lookup	soft_labels_without_pooling		top156	nnls	linear_clip_normalize	lookup / soft_labels_without_pooling / top156 / nnls / linear_clip_normalize	lookup|soft_labels_without_pooling||top156|nnls|linear_clip_normalize	0.941464425847984	0.6759763399489118	0.6729738461538463	314.0	117.0	215.5	314.0	287.0	314.0	318.0	309.0	279.0	314.0	300.0
