JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59160677_6.batch|59160684.batch|batch||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:55:21|03:26:20|12380||1|r24g37|7||12345.64M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:12:30|86660|0:0
59160677_6.extern|59160684.extern|extern||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:55:21|03:26:20|12380||1|r24g37|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|86660|0:0
59160677_9|59160677|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:29:00|2026-04-28T09:29:01|2026-04-28T13:12:43|03:43:42|13422|10:00:00|1|r24g38|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:37:49|93954|0:0
59160677_9.batch|59160677.batch|batch||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T13:12:43|03:43:42|13422||1|r24g38|7||8259.55M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:37:49|93954|0:0
59160677_9.extern|59160677.extern|extern||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T13:12:43|03:43:42|13422||1|r24g38|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|93954|0:0
59160831_0|59160832|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T10:36:19|2026-04-28T10:36:20|2026-04-28T14:03:09|03:26:49|12409|10:00:00|1|r22g41|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:32:15|86863|0:0
59160831_0.batch|59160832.batch|batch||lccbe||COMPLETED|2026-04-28T10:36:20|2026-04-28T10:36:20|2026-04-28T14:03:09|03:26:49|12409||1|r22g41|7||8621.24M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:32:15|86863|0:0
59160831_0.extern|59160832.extern|extern||lccbe||COMPLETED|2026-04-28T10:36:20|2026-04-28T10:36:20|2026-04-28T14:03:09|03:26:49|12409||1|r22g41|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|86863|0:0
59160831_1|59160831|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T10:36:19|2026-04-28T10:36:20|2026-04-28T14:21:29|03:45:09|13509|10:00:00|1|r22g41|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:49:16|94563|0:0
59160831_1.batch|59160831.batch|batch||lccbe||COMPLETED|2026-04-28T10:36:20|2026-04-28T10:36:20|2026-04-28T14:21:29|03:45:09|13509||1|r22g41|7||9105.62M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:49:16|94563|0:0
59160831_1.extern|59160831.extern|extern||lccbe||COMPLETED|2026-04-28T10:36:20|2026-04-28T10:36:20|2026-04-28T14:21:29|03:45:09|13509||1|r22g41|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|94563|0:0
59160980_0|59160981|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T14:38:31|2026-04-28T14:38:32|2026-04-28T17:51:08|03:12:36|11556|10:00:00|1|r22g41|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|04:27:43|80892|0:0
59160980_0.batch|59160981.batch|batch||lccbe||COMPLETED|2026-04-28T14:38:32|2026-04-28T14:38:32|2026-04-28T17:51:08|03:12:36|11556||1|r22g41|7||8880.26M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||04:27:43|80892|0:0
59160980_0.extern|59160981.extern|extern||lccbe||COMPLETED|2026-04-28T14:38:32|2026-04-28T14:38:32|2026-04-28T17:51:08|03:12:36|11556||1|r22g41|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|80892|0:0
59160980_1|59160983|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T14:38:31|2026-04-28T14:40:05|2026-04-28T17:59:26|03:19:21|11961|10:00:00|1|r24g40|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:17:29|83727|0:0
59160980_1.batch|59160983.batch|batch||lccbe||COMPLETED|2026-04-28T14:40:05|2026-04-28T14:40:05|2026-04-28T17:59:26|03:19:21|11961||1|r24g40|7||9200.84M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:17:29|83727|0:0
59160980_1.extern|59160983.extern|extern||lccbe||COMPLETED|2026-04-28T14:40:05|2026-04-28T14:40:05|2026-04-28T17:59:26|03:19:21|11961||1|r24g40|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|83727|0:0
59160980_2|59160984|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T14:38:31|2026-04-28T14:40:05|2026-04-28T18:16:59|03:36:54|13014|10:00:00|1|r24g40|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:05:52|91098|0:0
